D;E;F;G;BC;BD;BE;BF;BG;BH;BI;BJ;BK;CC;CB;CA;CD;CE;CF;CG;CY;CZ;DA;DB;DC;DD;DE;DF;DG;DH;HS;HT;HW;HX;IE;IF;IG;IH;JR;JS;JT;JU;JV;JW;JX;JY;JZ;KA;KB;KF;KG;KH;KI;KJ;KK;KL;KM;KN;KO;KX;KY;KZ;LA;LB;LQ;LR;LS;LT;LU;LV;LW;LX;LY;LZ;MA;MB;MC;MD;ME;MF;MG;MH;MI;MJ;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ
-419;-521;-211;-310;-401,8;-434,8;-8;119;-16;-1;-22;1;6;-69;283;-149;-77;-57;0,1;-16,2;-3;-36;-218;-319;95;91;5;75;90;16;-361;-163;-9;-42;-25;-25;-13;6;-184;224;7;102;-5;32;15;14;13;-11;33;2;0;-4;-42;-66;-29;2;9;26;79;86;18;-20;0;-4;0,4;3,9;3;596;187;-246;4908;2795;-1732;108;251;-413;-77677;-1963;-6990;-7461;-5537;-6794;-5452;-10394;-17852;-14396;-29292;-10739;-8424;-6459;-1984;1980;-6067;749;-559;2814;-109;-1,2368;13;-1,2555
0;-23;-13;-10;-424,4;-444,5;-33;10;5;0;1;3;1;-11;-1;-10;-3;2;2,5;-18;1;-1;-16;-18;6;7;1;6;5;1;0;11;2;0;3;3;-1;-1;-5;-5;0;-6;-1;0;0;1;0;0;0;0;0;-1;0;0;-1;0;-1;0;0;0;0;0;0;0;0;5;-0,4;0;0;0;0;0;0;17;-2;-44;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;-4;-5;1;-402,5;-416;-17;3;1;0;0;3;-2;1;-13;2;-1;3;4,3;-19,8;1;0;-16;-20;9;19;14;8;-5;11;20;-21;-2;-1;0;-1;0;0;4;0;4;-16;-4;0;0;-2;0;0;0;0;1;0;-1;4;0;1;1;-1;0;-4;0;0;0;0;0;-9,1;8,8;0;0;0;0;0;0;16;-2;-24;-615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-258,6167
-273;-428;-236;-192;-364,4;-385,4;5;2;-4;-3;2;-1;-2;-54;104;-51;-19;-69;0,8;-20,8;-6;-4;-177;-131;46;8;11;27;35;-19;-436;24;-49;12;1;2;-3;-10;-220;-86;-47;-80;-47;-29;-23;-229;-19;-19;-76;-1;1;0;-6;-15;7;7;-10;-10;-1;11;-1;-8;1;0;-2,6;4,6;4,7;598;18;66;2158;-806;878;61;-9;22;-25012;-2306;-1351;-4056;-1839;-2659;-2708;-4425;-3617;-1857;-16985;-7060;-4567;-5303;-923;170;502;-1556;3682;-2193;-82;27,781;-45;11,5139
-227;-409;-232;-177;-355,9;-375,7;-1;-6;-20;0;-17;0;-3;-59;45;-43;-59;-30;1,7;-20,7;-2;1;-142;-120;-5;-2;-22;20;17;-22;-296;-4;-51;-19;-3;-3;0;-2;-132;-12;6;-48;2;-19;33;-191;5;17;-20;-1;1;-1;9;39;17;3;2;9;14;11;2;8;-1;1;-1,3;1,5;1,3;149;77;414;2561;-1467;1298;11;97;-177;-29822;-1897;-4921;-2987;-4738;460;-2519;-3828;-5272;-3371;-7597;-4157;-1660;-229;1445;87;-107;-1380;-1630;132;-98;11,9801;-11;4,6251
-22;-34;-20;-14;-450,3;-457,3;0;1;-7;0;-4;-1;-2;4;10;-5;-5;-3;-0,9;-18,1;-4;-1;-15;-19;-4;-1;-5;7;1;-8;-34;0;-4;-5;-3;1;0;-1;4;13;-7;-14;-10;-5;-15;-15;0;0;-10;-1;0;0;1;0;3;0;2;6;1;1;1;0;0;1;-4,1;1,3;-0,3;29;-1;21;449;-91;94;3;11;-19;-3996;0;0;-92;-865;-53;-434;-380;-529;-1403;-2206;0;-1288;728;0;-1457;-565;-858;-499;0;-8;-17,4675;0;0
-34;-98;-44;-54;-416,5;-431,3;0;2;2;0;3;-2;1;-7;14;10;-16;-18;2,5;-20,9;0;-1;-45;-36;10;-8;-3;7;13;-15;-105;-11;-1;-2;1;0;0;0;-35;-10;-1;-16;-7;13;-10;-3;0;0;14;0;1;0;-4;-10;-1;-3;-3;2;0;-5;-4;-1;0;0;-4,3;1,1;2,5;29;19;59;615;-414;210;7;7;-30;-3281;0;-673;-831;-441;-756;388;-208;-1271;159;-1904;-676;-641;1022;0;-80;0;-1081;-1135;-83;-6;15,358;0;-19,7616
-611;-740;-305;-435;-403,4;-430,3;-7;-43;-37;-2;-8;-27;0;-94;150;-47;-11;-172;0,3;-18,1;-4;2;-301;-378;147;119;17;88;130;31;-805;30;-98;-13;-10;-3;-16;-16;-349;126;-22;59;-15;-71;-26;-154;3;3;-22;-3;-1;2;7;-82;10;-3;-4;-32;-46;84;2;1;0;2;-0,5;4,3;1,2;408;120;489;6339;1587;-2788;540;-66;-322;-86971;-3608;-6078;-11978;-10662;-4570;-17768;-11474;-12777;-6498;-32595;-18138;-6032;-5088;-5652;125;-1971;-101;5545;-449;-195;7,6008;-41;9,0186
-24;46;24;22;-376,3;-386,1;20;34;-4;0;3;-4;-3;5;5;17;-6;3;2,3;-19,8;-4;-2;-43;-20;46;51;20;36;26;15;2;-4;2;-2;-4;-3;-2;-4;9;17;9;-15;1;18;0;0;10;0;6;0;-1;0;0;7;-4;2;2;2;-2;4;0;0;0;0;0;5,3;1,3;0;0;0;0;0;0;40;0;-135;-100;0;0;337;0;-397;0;383;-551;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-4,3992
-243;-365;-157;-208;-415,2;-432,1;3;-1;-9;-1;-3;-3;-2;-30;18;-39;-4;-61;1,7;-19;-5;0;-131;-136;23;-35;9;15;14;-50;-201;-87;-28;-26;-9;-6;0;0;-84;-68;-42;-63;-17;-25;-10;-118;0;0;-30;-1;-3;0;-16;19;-17;1;-8;-12;0;32;6;-19;0;2;-2,8;0,5;-0,4;88;39;-31;1680;-406;437;73;-61;1;-27973;-1427;-4147;-1923;-2752;-2501;-2917;-4789;-3661;-4072;-6695;-1571;-1659;-1273;785;-2474;1183;-366;-3276;1956;-78;-22,6112;-12;-0,9844
-626;-665;-307;-358;-412,8;-433,3;-256;-36;-7;-3;-10;8;-2;-71;20;-101;-33;-85;0,7;-17,1;-8;-19;-182;-259;-34;-6;-4;12;-30;-18;-356;-98;-23;-2;-2;-3;-4;0;-230;-130;-51;-108;-48;-84;-47;-172;-33;-22;-53;-2;5;-3;-16;-18;5;-7;-8;-10;-1;33;14;-42;-1;0;1,6;2,5;2,9;235;-8;-132;2431;485;690;395;-316;-194;-36089;-1057;-5496;-4609;-3122;-3923;-4806;-4159;-2476;-6839;-27378;-10761;-6843;-1681;-2737;-4553;-2700;1126;-1110;2808;-38;22,599;-45;2,0092
-313;-365;-179;-186;-402;-437,5;-1;35;-24;-1;-15;-6;-2;-40;41;-71;-29;-37;0,9;-17,2;-3;-16;-105;-151;-32;36;1;11;-33;25;-186;-91;-40;-13;-8;-12;-7;-6;-102;63;1;21;-3;-8;51;-62;-11;13;-20;1;-5;0;6;-78;1;4;2;-14;2;18;5;-11;0;6;0;4,2;2,1;146;-8;-157;1417;1876;-1108;3;-77;-15;-29457;-1802;1064;-4649;-3749;-1337;-4258;-4986;-4665;-4830;-5623;-5545;-3381;-1862;-575;2191;-3109;1838;1716;2905;-65;-15,6159;-41;8,0382
-190;-285;-139;-146;-447,9;-479;1;2;-9;-1;-4;-1;-3;-22;-7;-33;-15;-35;0,6;-16,3;-3;1;-85;-102;-15;-21;-10;7;-5;-28;-116;-52;0;-20;-12;-10;-1;-5;-98;-143;-45;-99;-26;-27;-11;-150;-11;0;-40;0;3;0;-6;-67;-11;-1;1;-7;-8;6;-9;0;0;-2;-2,2;0,7;2,1;154;19;-33;1115;-227;-201;66;-13;-17;-13593;-422;-588;-465;-537;-1210;-2802;-2236;-4229;-1084;-9241;16;-1212;-3150;-709;-1272;588;-2709;-2137;1237;-14;-37,6452;-26;11,6946
-412;-325;-155;-170;-369,3;-386,3;0;-2;-25;-3;-10;-11;-1;-50;131;-12;-66;-47;1,6;-20,8;-21;-17;-124;-168;29;58;-4;55;33;3;-349;-18;-42;-8;-13;-15;-2;2;-158;41;28;-13;7;-21;7;-45;-5;0;4;1;0;-1;-20;0;0;-2;1;4;21;76;11;-26;0;0;-1,7;4,2;3,9;561;59;71;3141;878;-1330;162;120;-123;-26179;-1544;-3252;-3207;-2608;-4990;-4980;-2791;-3837;653;-13567;-6193;-3425;-1855;-2057;828;-2041;-96;-83;1515;-83;12,9737;-21;6,7678
-295;-469;-231;-238;-369,7;-382,9;-7;5;-37;0;-8;-21;-8;-60;86;37;-47;-106;1;-20,8;-19;-14;-122;-155;-3;27;-19;23;16;4;-517;-102;-81;-25;5;5;-13;-7;-240;-7;-21;-58;-14;-15;10;-56;-11;0;-10;1;-4;0;-22;-14;2;0;6;3;13;20;0;-2;0;-3;2,5;1,3;1,9;260;47;142;2613;431;-500;128;112;-150;-19177;-587;-1338;-2411;-2852;-4790;-2202;-1884;-109;-3357;-9562;-3242;-1735;-1444;-1572;-783;-2368;184;832;637;-128;57,1629;-23;0,037
-758;-908;-407;-501;-420,9;-450,7;2;39;-27;-2;-21;-8;4;-85;271;-93;-84;-158;-0,3;-17,2;-10;0;-233;-411;33;32;12;18;21;14;-590;-193;-37;-42;-20;-15;-4;-16;-355;-23;-2;-82;-25;-43;14;-244;-16;11;-60;2;3;0;-41;-14;25;3;0;-49;-30;73;-30;15;0;-1;-1,3;1,8;2,2;909;117;-275;6270;304;-1044;524;135;-363;-69270;-1859;-2590;-6258;-5553;-7666;-9996;-12164;-6257;-17572;-46161;-16486;-8864;413;-8802;1739;-4062;-3768;-2143;-3454;-106;2,7402;-96;6,4204
-99;-320;-174;-146;-458,5;-480,4;3;25;-7;-1;-7;-3;4;-26;4;-33;-24;-41;1,7;-17,2;-2;-6;-124;-112;-6;2;12;15;-18;-13;-189;-17;-14;-7;7;5;2;-1;-90;53;22;-29;-1;-45;-32;-81;-21;-16;-28;-1;1;-1;-11;-3;-6;-1;-7;-4;0;4;11;4;0;-1;-5,4;0,8;-0,6;53;27;-55;1288;-158;-275;23;4;-101;-14001;-570;28;-703;-1226;-752;-1070;-4914;-2069;-2494;-9314;-2433;-876;-1365;-543;20;-59;-3964;-3116;3022;-31;67,1878;-19;-3,2058
28949;25627;13551;12076;-348,7;-376,8;661;6043;-684;-25;-585;-229;155;191;12443;3742;520;1700;-0,2;-17,1;-721;-837;-4820;-8267;15599;17466;13202;16671;2397;795;4824;2727;-1155;-133;-500;-584;-187;-226;6515;6254;1801;1091;230;-803;2176;1767;-78;601;541;-9;-15;-59;-68;-3465;-590;185;-397;283;1244;1697;142;29;85;14;4,4;2,8;2,2;29635;-931;5703;180621;139801;-83047;34219;-295;-5881;-1192627;-35396;-116159;-190195;-153941;-101298;-193719;-192889;-127327;-88324;381339;-171741;-111739;-4718;134816;152220;-3807;120967;190919;80662;-2355;-0,1254;-224;5,431
-109;-154;-45;-109;-446;-462,7;2;-13;-5;-1;-1;-2;-1;-27;-43;17;-15;-24;2;-17,1;-5;-7;-74;-123;33;26;13;9;20;17;-59;-61;5;-8;3;1;-2;3;-77;-49;-15;-20;0;-27;-10;-64;-1;0;-5;-1;2;0;-3;-15;0;0;0;-5;0;-13;-10;-5;-1;-2;-5,6;1,7;5,2;15;79;61;922;-666;426;48;-31;-17;-3760;0;-796;-49;-149;133;-721;-1296;-2695;2209;-10033;-4238;-885;301;-1112;-92;-38;-2797;193;-1365;-13;9,6439;7;14,9147
-296;-505;-285;-220;-377,3;-393,4;-4;13;-74;1;-26;-42;-7;-82;280;24;-86;-142;0,8;-19,8;-42;-11;-347;-264;224;244;70;172;154;72;-746;-134;-92;-52;-26;-10;-12;-13;-323;-121;-16;-94;-7;-131;-28;-259;-62;-21;-87;-3;-1;-1;-1;-44;-11;3;1;-8;0;91;25;-13;-4;11;-1,6;-0,5;1,9;1402;125;549;8281;1633;-3782;835;228;-220;-67998;-2214;-5565;-6740;-10707;-7212;-14214;-4428;-11511;-5889;-33160;-5269;-6677;-3708;-5479;167;-6746;-3658;-2683;1726;-245;7,8703;-36;7,1426
-94;-173;-87;-86;-413,4;-427,1;-3;1;-4;-1;-2;1;-2;-14;7;-4;-35;-14;2,4;-19;-11;4;-52;-56;-20;-14;2;0;-22;-14;0;0;0;0;0;0;0;0;-41;-7;4;-26;4;-7;6;-61;-4;0;-11;0;0;0;0;0;0;0;0;0;0;-2;-3;-5;0;-1;-3,3;-3,1;1;52;0;-35;826;-376;81;-2;25;-40;-4461;-642;-817;141;-374;-445;-397;-1130;-1140;293;-6880;-2234;-1146;-1330;-192;1027;-956;-1449;-1442;500;-42;77,9667;-4;-10,2369
-189;-429;-189;-240;-397,3;-429,5;5;23;-20;1;-11;-10;0;-29;103;-23;-56;-71;0,3;-18,1;-18;-5;-176;-218;73;5;22;38;51;-33;-351;-142;-46;-13;-10;-11;-7;4;-133;-156;-111;-84;-35;-56;26;-173;-18;4;-48;1;1;0;-22;63;-41;2;0;7;20;19;13;-16;0;-1;-2,4;4,4;3,4;197;4;-425;3438;156;-834;54;-97;114;-24751;-397;-3334;-4029;-1514;-788;-3123;-2760;-5287;-3281;-8176;-4148;-3053;-1775;1979;300;-2943;1452;-80;13;-92;-13,3235;33;-1,1174
-107;-204;-111;-93;-398;-423,6;-4;-6;-1;0;-4;-1;4;-31;42;-44;9;-38;1;-19;-1;-4;-80;-71;5;14;5;10;0;4;-149;-28;-1;-11;-3;-2;-1;-3;-92;-25;-10;-26;-7;-2;2;-35;6;11;2;0;0;-1;-2;-17;-24;0;0;3;3;12;-4;-2;0;0;-2,3;5;2,3;84;41;22;671;3;155;8;-7;-62;-8022;-534;-624;-734;-496;314;-1403;-603;-1634;-2358;-6426;-2357;1339;-2151;-343;-2124;132;-272;87;-974;-24;33,2683;-11;5,1004
-56;-151;-76;-75;-457,6;-491,6;0;-3;0;2;0;1;-3;-16;-3;-26;-17;-16;0,8;-17,1;1;-2;-43;-49;-17;-9;-4;3;-13;-12;-61;-43;-2;-9;-3;-1;-3;1;-40;-44;-23;-14;-6;-13;1;-70;0;0;-15;-1;0;-2;-11;-11;-5;-3;3;1;1;7;2;-11;-2;0;-1,9;-0,9;-1,4;69;20;90;695;-310;526;-177;43;13;-17650;-858;-709;505;-1095;-1303;-2236;-2791;-6609;-2794;-5371;-1607;-804;414;-2;-556;-2246;-122;441;-914;-17;-1,3093;-17;24,0799
-114;7;67;-60;-364;-391,8;29;333;-99;-3;-59;-18;-19;-131;1027;71;-39;-254;-0,4;-18;3;-25;-344;-504;561;675;250;415;311;260;-1201;-230;-140;-25;-40;-31;-1;1;-401;373;73;158;9;51;109;-68;-10;-5;-21;5;-7;-9;-389;-121;-11;14;1;9;45;88;-12;-3;0;0;2,7;0,3;2;843;443;-374;11936;8146;-6868;1092;15;-734;-114800;-5628;-8352;-15001;-10200;-8829;-14822;-14353;-22456;-14629;-31009;-27570;-8016;2334;5724;-505;-5724;-3380;-2703;9302;-312;23,2772;-22;5,5708
-100;-263;-131;-132;-375,7;-399,4;-1;24;-23;0;-9;-14;0;-51;70;-2;-28;-55;1,1;-19,9;-16;-10;-151;-163;120;77;0;65;120;12;-344;-12;-85;-3;-17;-17;-7;-4;-113;32;-7;15;8;-42;-4;-143;-18;-12;-24;2;-7;2;-20;-28;9;2;2;1;37;7;-22;11;-1;0;-2;3,1;4,7;728;194;163;3137;443;-919;258;369;-519;-44267;-1198;-4124;-1993;-5415;-6291;-3746;-5694;-4554;-10036;-16085;-6709;-4612;-992;-2170;623;-1083;-695;-386;-61;-113;22,0477;20;0,7817
179;-378;-86;-292;-377,6;-410,2;27;83;-106;0;-53;-27;-26;-163;1462;-139;-114;-293;-1;-18,1;-98;-31;-782;-1153;927;1036;338;691;589;345;-1429;-211;-312;-67;-95;-103;5;-12;-490;883;206;218;54;122;309;209;34;73;118;-3;-5;-13;-76;85;62;-6;82;-45;90;163;23;-74;3;-4;0,1;2,6;2,4;2497;387;372;18970;10564;-12162;1244;735;-843;-195561;-10830;-13400;-28706;-23652;-15429;-24353;-18444;-25854;-33513;1623;-32423;-7804;919;13960;13228;-1185;-4804;14369;5404;-631;-5,7174;-14;10,771
-85;181;113;68;-346,9;-364,3;3;-4;-28;0;-20;-14;6;-9;109;64;34;-45;1,7;-21,6;5;2;-16;-116;192;200;46;94;146;106;-79;-78;-62;-23;-9;-12;5;3;-170;-99;-86;-2;10;-48;-54;-177;-18;-22;-87;1;0;1;23;53;-18;-4;5;15;39;103;15;1;-1;-1;-1,9;1,6;0,5;120;124;313;2634;-280;1123;24;-22;4;-50567;-2417;-3415;-5870;-5541;-8729;-7867;-6133;-4322;-5777;-16735;-5897;-3101;-2985;50;-122;61;-4597;2499;-2526;-137;-8,6251;-35;3,7655
-606;-577;-198;-379;-384,8;-410;2;52;-75;-9;-42;-3;-21;-80;243;-16;-119;-110;0,5;-18,1;-25;3;-284;-339;115;77;9;63;106;14;-627;-73;-126;-27;-29;-32;-25;-9;-191;14;-18;101;61;-86;21;-295;-34;1;-62;1;-2;-3;-164;188;-25;7;9;-1;43;23;-32;-21;-2;-1;-2,8;-0,5;-0,9;362;207;-25;6071;434;-183;-86;-9;-122;-103153;-4208;-12693;-9613;-6670;-9236;-11174;-18752;-20469;-8311;-56630;-18187;-9702;-14227;4382;-2210;-7388;-12235;813;2034;-202;8,1889;-15;10,1864
-128;-199;-93;-106;-412,7;-434,3;-2;1;-20;3;-15;-4;-4;-29;29;1;-26;-34;0,4;-18,1;2;-13;-76;-147;8;50;20;34;-12;16;-277;-2;-18;-19;-6;2;-9;-7;-44;71;16;-4;11;-6;-2;-57;12;0;8;-3;-1;0;3;-23;-9;3;4;-7;5;13;-9;0;-1;4;-2,2;1,2;3,4;610;77;-203;2370;-479;882;197;-37;-121;-24217;-667;-828;971;-740;-2781;-3869;-3404;-4212;-8022;-9893;-1268;-792;-1176;71;1647;-3807;-1784;-1522;-1147;-62;-15,6995;20;3,9111
